id	codigo	descricao	data_publicacao_fake	data_publicacao
	5006002	Nova Alvorada do Sul	1012009	01-01-2009
	5006200	Nova Andradina	1012009	01-01-2009
	5006259	Novo Horizonte do Sul	1012009	01-01-2009
	5006309	Paranaíba	1012009	01-01-2009
	5006358	Paranhos	1012009	01-01-2009
	5006408	Pedro Gomes	1012009	01-01-2009
	5006606	Ponta Porã	1012009	01-01-2009
	5006903	Porto Murtinho	1012009	01-01-2009
	5007109	Ribas do Rio Pardo	1012009	01-01-2009
	5007208	Rio Brilhante	1012009	01-01-2009
	5007307	Rio Negro	1012009	01-01-2009
	5007406	Rio Verde de Mato Grosso	1012009	01-01-2009
	5007505	Rochedo	1012009	01-01-2009
	5007554	Santa Rita do Pardo	1012009	01-01-2009
	5007695	São Gabriel do Oeste	1012009	01-01-2009
	5007802	Selvíria	1012009	01-01-2009
	5007703	Sete Quedas	1012009	01-01-2009
	5007901	Sidrolândia	1012009	01-01-2009
	5007935	Sonora	1012009	01-01-2009
	5007950	Tacuru	1012009	01-01-2009
	5007976	Taquarussu	1012009	01-01-2009
	5008008	Terenos	1012009	01-01-2009
	5008305	Três Lagoas	1012009	01-01-2009
	5008404	Vicentina	1012009	01-01-2009
	3300100	Angra dos Reis	1012009	01-01-2009
	3300159	Aperibé	1012009	01-01-2009
	3300209	Araruama	1012009	01-01-2009
	3300225	Areal	1012009	01-01-2009
	3300233	Armação dos Búzios	1012009	01-01-2009
	3300258	Arraial do Cabo	1012009	01-01-2009
	3300308	Barra do Piraí	1012009	01-01-2009
	3300407	Barra Mansa	1012009	01-01-2009
	3300456	Belford Roxo	1012009	01-01-2009
	3300506	Bom Jardim	1012009	01-01-2009
	3300605	Bom Jesus do Itabapoana	1012009	01-01-2009
	3300704	Cabo Frio	1012009	01-01-2009
	3300803	Cachoeiras de Macacu	1012009	01-01-2009
	3300902	Cambuci	1012009	01-01-2009
	3301009	Campos dos Goytacazes	1012009	01-01-2009
	3301108	Cantagalo	1012009	01-01-2009
	3300936	Carapebus	1012009	01-01-2009
	3301157	Cardoso Moreira	1012009	01-01-2009
	3301207	Carmo	1012009	01-01-2009
	3301306	Casimiro de Abreu	1012009	01-01-2009
	3300951	Comendador Levy Gasparian	1012009	01-01-2009
	3301405	Conceição de Macabu	1012009	01-01-2009
	3301504	Cordeiro	1012009	01-01-2009
	3301603	Duas Barras	1012009	01-01-2009
	3301702	Duque de Caxias	1012009	01-01-2009
	3301801	Engenheiro Paulo de Frontin	1012009	01-01-2009
