codigo,unidade,data_publicacao,descricao_unidade,id
91070090,UN,2016-01-01,Unidade,
91081110,UN,2016-01-01,Unidade,
91081190,UN,2016-01-01,Unidade,
91081200,UN,2016-01-01,Unidade,
91081900,UN,2016-01-01,Unidade,
91082000,UN,2016-01-01,Unidade,
91089000,UN,2016-01-01,Unidade,
91091000,UN,2016-01-01,Unidade,
91099000,UN,2016-01-01,Unidade,
91101110,UN,2016-01-01,Unidade,
91101190,UN,2016-01-01,Unidade,
91101200,KG,2016-01-01,Quilograma,
91101900,KG,2016-01-01,Quilograma,
91109000,KG,2016-01-01,Quilograma,
91111000,UN,2016-01-01,Unidade,
91112010,UN,2016-01-01,Unidade,
91112090,UN,2016-01-01,Unidade,
91118000,UN,2016-01-01,Unidade,
91119010,KG,2016-01-01,Quilograma,
91119090,KG,2016-01-01,Quilograma,
91122000,UN,2016-01-01,Unidade,
91129000,KG,2016-01-01,Quilograma,
91131000,KG,2016-01-01,Quilograma,
91132000,KG,2016-01-01,Quilograma,
91139000,KG,2016-01-01,Quilograma,
91141000,KG,2016-01-01,Quilograma,
91143000,KG,2016-01-01,Quilograma,
91144000,KG,2016-01-01,Quilograma,
91149010,KG,2016-01-01,Quilograma,
91149020,KG,2016-01-01,Quilograma,
91149030,KG,2016-01-01,Quilograma,
91149040,KG,2016-01-01,Quilograma,
91149050,KG,2016-01-01,Quilograma,
91149060,KG,2016-01-01,Quilograma,
91149070,KG,2016-01-01,Quilograma,
91149090,KG,2016-01-01,Quilograma,
92011000,UN,2016-01-01,Unidade,
92012000,UN,2016-01-01,Unidade,
92019000,UN,2016-01-01,Unidade,
92021000,UN,2016-01-01,Unidade,
92029000,UN,2016-01-01,Unidade,
92051000,UN,2016-01-01,Unidade,
92059000,UN,2016-01-01,Unidade,
92060000,UN,2016-01-01,Unidade,
92071010,UN,2016-01-01,Unidade,
92071090,UN,2016-01-01,Unidade,
92079010,UN,2016-01-01,Unidade,
92079090,UN,2016-01-01,Unidade,
92081000,UN,2016-01-01,Unidade,
92089000,UN,2016-01-01,Unidade,
92093000,KG,2016-01-01,Quilograma,
92099100,KG,2016-01-01,Quilograma,
92099200,KG,2016-01-01,Quilograma,
92099400,KG,2016-01-01,Quilograma,
92099900,KG,2016-01-01,Quilograma,
93011000,UN,2016-01-01,Unidade,
93012000,UN,2016-01-01,Unidade,
93019000,UN,2016-01-01,Unidade,
93020000,UN,2016-01-01,Unidade,
93031000,UN,2016-01-01,Unidade,
93032000,UN,2016-01-01,Unidade,
93033000,UN,2016-01-01,Unidade,
93039000,UN,2016-01-01,Unidade,
93040000,UN,2016-01-01,Unidade,
93051000,KG,2016-01-01,Quilograma,
93052000,KG,2016-01-01,Quilograma,
93059100,KG,2016-01-01,Quilograma,
93059900,KG,2016-01-01,Quilograma,
93062100,KG,2016-01-01,Quilograma,
93062900,KG,2016-01-01,Quilograma,
93063000,KG,2016-01-01,Quilograma,
93069000,KG,2016-01-01,Quilograma,
93070000,KG,2016-01-01,Quilograma,
94011010,UN,2016-01-01,Unidade,
94011090,UN,2016-01-01,Unidade,
94012000,UN,2016-01-01,Unidade,
94013010,UN,2016-01-01,Unidade,
94013090,UN,2016-01-01,Unidade,
94014010,UN,2016-01-01,Unidade,
94014090,UN,2016-01-01,Unidade,
94015200,UN,01-01-2017,Unidade,
94015300,UN,01-01-2017,Unidade,
94015900,UN,2016-01-01,Unidade,
94016100,UN,2016-01-01,Unidade,
94016900,UN,2016-01-01,Unidade,
94017100,UN,2016-01-01,Unidade,
94017900,UN,2016-01-01,Unidade,
94018000,UN,2016-01-01,Unidade,
94019010,KG,2016-01-01,Quilograma,
94019090,KG,2016-01-01,Quilograma,
94021000,KG,2016-01-01,Quilograma,
94029010,KG,2016-01-01,Quilograma,
94029020,KG,2016-01-01,Quilograma,
94029090,KG,2016-01-01,Quilograma,
94031000,UN,2016-01-01,Unidade,
94032000,UN,2016-01-01,Unidade,
94033000,UN,2016-01-01,Unidade,
94034000,UN,2016-01-01,Unidade,
94035000,UN,2016-01-01,Unidade,
94036000,UN,2016-01-01,Unidade,
94037000,UN,2016-01-01,Unidade,
94038200,KG,01-01-2017,Quilograma,
94038300,KG,01-01-2017,Quilograma,
94038900,UN,2016-01-01,Unidade,
94039010,KG,2016-01-01,Quilograma,
94039090,KG,2016-01-01,Quilograma,
94041000,KG,2016-01-01,Quilograma,
94042100,UN,2016-01-01,Unidade,
94042900,UN,2016-01-01,Unidade,
94043000,UN,2016-01-01,Unidade,
94049000,KG,2016-01-01,Quilograma,
94051010,KG,2016-01-01,Quilograma,
94051091,KG,2016-01-01,Quilograma,
94051092,KG,2016-01-01,Quilograma,
94051093,KG,2016-01-01,Quilograma,
94051099,KG,2016-01-01,Quilograma,
94052000,KG,2016-01-01,Quilograma,
94053000,KG,2016-01-01,Quilograma,
94054010,KG,2016-01-01,Quilograma,
94054090,KG,2016-01-01,Quilograma,
94055000,KG,2016-01-01,Quilograma,
94056000,KG,2016-01-01,Quilograma,
94059100,KG,2016-01-01,Quilograma,
94059200,KG,2016-01-01,Quilograma,
94059900,KG,2016-01-01,Quilograma,
94061010,KG,01-01-2017,Quilograma,
94061090,KG,01-01-2017,Quilograma,
94069010,KG,01-01-2017,Quilograma,
94069020,KG,01-01-2017,Quilograma,
94069090,KG,01-01-2017,Quilograma,
95030010,KG,2016-01-01,Quilograma,
95030021,UN,2016-01-01,Unidade,
95030022,UN,2016-01-01,Unidade,
95030029,KG,2016-01-01,Quilograma,
95030031,UN,2016-01-01,Unidade,
95030039,UN,2016-01-01,Unidade,
95030040,KG,2016-01-01,Quilograma,
95030050,KG,2016-01-01,Quilograma,
95030060,KG,2016-01-01,Quilograma,
95030070,UN,2016-01-01,Unidade,
95030080,UN,2016-01-01,Unidade,
95030091,UN,2016-01-01,Unidade,
95030097,UN,2016-01-01,Unidade,
95030098,UN,2016-01-01,Unidade,
95030099,UN,2016-01-01,Unidade,
95042000,KG,2016-01-01,Quilograma,
95043000,UN,2016-01-01,Unidade,
95044000,UN,2016-01-01,Unidade,
95045000,UN,2016-01-01,Unidade,
95049010,UN,2016-01-01,Unidade,
95049090,UN,2016-01-01,Unidade,
95051000,KG,2016-01-01,Quilograma,
95059000,KG,2016-01-01,Quilograma,
95061100,PARES,2016-01-01,Pares,
95061200,KG,2016-01-01,Quilograma,
95061900,KG,2016-01-01,Quilograma,
95062100,UN,2016-01-01,Unidade,
95062900,UN,2016-01-01,Unidade,
95063100,UN,2016-01-01,Unidade,
95063200,UN,2016-01-01,Unidade,
95063900,KG,2016-01-01,Quilograma,
95064000,KG,2016-01-01,Quilograma,
95065100,UN,2016-01-01,Unidade,
95065900,UN,2016-01-01,Unidade,
95066100,UN,2016-01-01,Unidade,
95066200,UN,2016-01-01,Unidade,
95066900,UN,2016-01-01,Unidade,
95067000,PARES,2016-01-01,Pares,
95069100,KG,2016-01-01,Quilograma,
95069900,UN,2016-01-01,Unidade,
95071000,UN,2016-01-01,Unidade,
95072000,KG,2016-01-01,Quilograma,
95073000,UN,2016-01-01,Unidade,
95079000,UN,2016-01-01,Unidade,
95081000,KG,2016-01-01,Quilograma,
95089010,KG,2016-01-01,Quilograma,
95089020,KG,2016-01-01,Quilograma,
95089030,KG,2016-01-01,Quilograma,
95089090,KG,2016-01-01,Quilograma,
96011000,KG,2016-01-01,Quilograma,
96019000,KG,2016-01-01,Quilograma,
96020010,KG,2016-01-01,Quilograma,
96020020,KG,2016-01-01,Quilograma,
96020090,KG,2016-01-01,Quilograma,
96031000,UN,2016-01-01,Unidade,
96032100,UN,2016-01-01,Unidade,
96032900,UN,2016-01-01,Unidade,
96033000,UN,2016-01-01,Unidade,
96034010,UN,2016-01-01,Unidade,
