codigo,unidade,data_publicacao,descricao_unidade,id
55095300,KG,2016-01-01,Quilograma,
55095900,KG,2016-01-01,Quilograma,
55096100,KG,2016-01-01,Quilograma,
55096200,KG,2016-01-01,Quilograma,
55096900,KG,2016-01-01,Quilograma,
55099100,KG,2016-01-01,Quilograma,
55099200,KG,2016-01-01,Quilograma,
55099900,KG,2016-01-01,Quilograma,
55101111,KG,2016-01-01,Quilograma,
55101112,KG,2016-01-01,Quilograma,
55101113,KG,2016-01-01,Quilograma,
55101119,KG,2016-01-01,Quilograma,
55101190,KG,2016-01-01,Quilograma,
55101211,KG,2016-01-01,Quilograma,
55101212,KG,2016-01-01,Quilograma,
55101213,KG,2016-01-01,Quilograma,
55101219,KG,2016-01-01,Quilograma,
55101290,KG,2016-01-01,Quilograma,
55102011,KG,2016-01-01,Quilograma,
55102012,KG,2016-01-01,Quilograma,
55102013,KG,2016-01-01,Quilograma,
55102019,KG,2016-01-01,Quilograma,
55102090,KG,2016-01-01,Quilograma,
55103011,KG,2016-01-01,Quilograma,
55103012,KG,2016-01-01,Quilograma,
55103013,KG,2016-01-01,Quilograma,
55103019,KG,2016-01-01,Quilograma,
55103090,KG,2016-01-01,Quilograma,
55109011,KG,2016-01-01,Quilograma,
55109012,KG,2016-01-01,Quilograma,
55109013,KG,2016-01-01,Quilograma,
55109019,KG,2016-01-01,Quilograma,
55109090,KG,2016-01-01,Quilograma,
55111000,KG,2016-01-01,Quilograma,
55112000,KG,2016-01-01,Quilograma,
55113000,KG,2016-01-01,Quilograma,
55121100,KG,2016-01-01,Quilograma,
55121900,KG,2016-01-01,Quilograma,
55122100,KG,2016-01-01,Quilograma,
55122900,KG,2016-01-01,Quilograma,
55129110,KG,2016-01-01,Quilograma,
55129190,KG,2016-01-01,Quilograma,
55129910,KG,2016-01-01,Quilograma,
55129990,KG,2016-01-01,Quilograma,
55131100,KG,2016-01-01,Quilograma,
55131200,KG,2016-01-01,Quilograma,
55131300,KG,2016-01-01,Quilograma,
55131900,KG,2016-01-01,Quilograma,
55132100,KG,2016-01-01,Quilograma,
55132310,KG,2016-01-01,Quilograma,
55132390,KG,2016-01-01,Quilograma,
