codigo	unidade	data_publicacao	data_validade	descricao_unidade	
3055400	KG	01/01/2017		Quilograma	
3055900	KG	01/01/2017		Quilograma	
3056100	KG	01/01/2016		Quilograma	
3056200	KG	01/01/2016		Quilograma	
3056300	KG	01/01/2016		Quilograma	
3056400	KG	01/01/2016		Quilograma	
3056910	KG	01/01/2016		Quilograma	
3056990	KG	01/01/2016		Quilograma	
3057100	KG	01/01/2016		Quilograma	
3057200	KG	01/01/2016		Quilograma	
3057900	KG	01/01/2016		Quilograma	
3061110	KG	01/01/2016		Quilograma	
3061190	KG	01/01/2016		Quilograma	
3061200	KG	01/01/2016		Quilograma	
3061400	KG	01/01/2016		Quilograma	
3061500	KG	01/01/2016		Quilograma	
3061610	KG	01/01/2016		Quilograma	
3061690	KG	01/01/2016		Quilograma	
3061710	KG	01/01/2016		Quilograma	
3061790	KG	01/01/2016		Quilograma	
3061910	KG	01/01/2016		Quilograma	
3061990	KG	01/01/2016		Quilograma	
3063100	KG	01/01/2017		Quilograma	
3063200	KG	01/01/2017		Quilograma	
3063300	KG	01/01/2017		Quilograma	
3063400	KG	01/01/2017		Quilograma	
3063500	KG	01/01/2017		Quilograma	
3063600	KG	01/01/2017		Quilograma	
3063910	KG	01/01/2017		Quilograma	
3063990	KG	01/01/2017		Quilograma	
3069100	KG	01/01/2017		Quilograma	
3069200	KG	01/01/2017		Quilograma	
3069300	KG	01/01/2017		Quilograma	
3069400	KG	01/01/2017		Quilograma	
3069500	KG	01/01/2017		Quilograma	
3069910	KG	01/01/2017		Quilograma	
3069990	KG	01/01/2017		Quilograma	
3071100	KG	01/01/2016		Quilograma	
3071200	KG	01/01/2017		Quilograma	
3071900	KG	01/01/2016		Quilograma	
3072100	KG	01/01/2016		Quilograma	
3072200	KG	01/01/2017		Quilograma	
3072900	KG	01/01/2016		Quilograma	
3073100	KG	01/01/2016		Quilograma	
3073200	KG	01/01/2017		Quilograma	
3073900	KG	01/01/2016		Quilograma	
3074200	KG	01/01/2017		Quilograma	
3074310	KG	01/01/2017		Quilograma	
3074320	KG	01/01/2017		Quilograma	
3074900	KG	01/01/2017		Quilograma	
3075100	KG	01/01/2016		Quilograma	
3075200	KG	01/01/2017		Quilograma	
3075900	KG	01/01/2017		Quilograma	
3076000	KG	01/01/2016		Quilograma	
3077100	KG	01/01/2016		Quilograma	
3077200	KG	01/01/2017		Quilograma	
3077900	KG	01/01/2016		Quilograma	
3078100	KG	01/01/2016		Quilograma	
3078200	KG	01/01/2017		Quilograma	
3078300	KG	01/01/2017		Quilograma	
3078400	KG	01/01/2017		Quilograma	
3078700	KG	01/01/2017		Quilograma	
3078800	KG	01/01/2017		Quilograma	
3079100	KG	01/01/2016		Quilograma	
3079200	KG	01/01/2017		Quilograma	
3079900	KG	01/01/2016		Quilograma	
3081100	KG	01/01/2016		Quilograma	
3081200	KG	01/01/2017		Quilograma	
3081900	KG	01/01/2016		Quilograma	
3082100	KG	01/01/2016		Quilograma	
3082200	KG	01/01/2017		Quilograma	
3082900	KG	01/01/2016		Quilograma	
3083000	KG	01/01/2016		Quilograma	
3089000	KG	01/01/2016		Quilograma	
4011010	KG	01/01/2016		Quilograma	
4011090	KG	01/01/2016		Quilograma	
4012010	KG	01/01/2016		Quilograma	
4012090	KG	01/01/2016		Quilograma	
4014010	KG	01/01/2016		Quilograma	
4014021	KG	01/01/2016		Quilograma	
4014029	KG	01/01/2016		Quilograma	
4015010	KG	01/01/2016		Quilograma	
4015021	KG	01/01/2016		Quilograma	
4015029	KG	01/01/2016		Quilograma	
4021010	KG	01/01/2016		Quilograma	
4021090	KG	01/01/2016		Quilograma	
4022110	KG	01/01/2016		Quilograma	
4022120	KG	01/01/2016		Quilograma	
4022130	KG	01/01/2016		Quilograma	
4022910	KG	01/01/2016		Quilograma	
4022920	KG	01/01/2016		Quilograma	
4022930	KG	01/01/2016		Quilograma	
4029100	KG	01/01/2016		Quilograma	
4029900	KG	01/01/2016		Quilograma	
4031000	KG	01/01/2016		Quilograma	
4039000	KG	01/01/2016		Quilograma	
4041000	KG	01/01/2016		Quilograma	
4049000	KG	01/01/2016		Quilograma	
4051000	KG	01/01/2016		Quilograma	
4052000	KG	01/01/2016		Quilograma	
4059010	KG	01/01/2016		Quilograma	
4059090	KG	01/01/2016		Quilograma	
4061010	KG	01/01/2016		Quilograma	
4061090	KG	01/01/2016		Quilograma	
4062000	KG	01/01/2016		Quilograma	
4063000	KG	01/01/2016		Quilograma	
4064000	KG	01/01/2016		Quilograma	
4069010	KG	01/01/2016		Quilograma	
4069020	KG	01/01/2016		Quilograma	
4069030	KG	01/01/2016		Quilograma	
4069090	KG	01/01/2016		Quilograma	
4071100	DUZIA	01/01/2016		Duzia	
4071900	DUZIA	01/01/2016		Duzia	
4072100	DUZIA	01/01/2016		Duzia	
4072900	DUZIA	01/01/2016		Duzia	
4079000	KG	01/01/2016		Quilograma	
4081100	KG	01/01/2016		Quilograma	
4081900	KG	01/01/2016		Quilograma	
4089100	KG	01/01/2016		Quilograma	
4089900	KG	01/01/2016		Quilograma	
4090000	KG	01/01/2016		Quilograma	
4100000	KG	01/01/2016		Quilograma	
5010000	KG	01/01/2016		Quilograma	
5021011	KG	01/01/2016		Quilograma	
5021019	KG	01/01/2016		Quilograma	
5021090	KG	01/01/2016		Quilograma	
5029010	KG	01/01/2016		Quilograma	
5029020	KG	01/01/2016		Quilograma	
5040011	KG	01/01/2016		Quilograma	
5040012	KG	01/01/2016		Quilograma	
5040013	KG	01/01/2016		Quilograma	
5040019	KG	01/01/2016		Quilograma	
5040090	KG	01/01/2016		Quilograma	
5051000	KG	01/01/2016		Quilograma	
